scantime,hash,name,address,postcode
1595838572,M+Ba5pZmeGT4nVbkkb2nDg,"The Rubens at the Palace","39-41, Buckingham Palace Road, Greater London",SW1W0PS
1595838572,05ndXAB9rEDlcXOKnUjoaA,"Hotel 41","41 Buckingham Palace Road",SW1W0PS
1595838572,hKOT1wFPA0jagWtrv8hZ0w,Alma,"79 Buckingham Gate, Greater London",SW1E6PD
1595838572,T0SeB9mPXZ1UXcky8YruwA,Bbar,"43 Buckingham Palace Road, Greater London",SW1W0PP
1595838572,ckCW0/u5G/+OtkPyIUElwg,"Notes Music & Coffee Ltd, Victoria","10 Sir Simon Milton Square, Greater London",SW1E5DJ
1595838572,0YOu/e3B8UXdxKbKMCLp/g,"Ceylon Diner London Limited","3 Lower Grosvenor Place, Greater London",SW1W0EJ
1595838572,RbHr28JSjb6+MwCVQl730A,"THE ENGLISH ROSE CAFE LTD","Basement Rear and Ground Floor, 4 Lower Grosvenor Place, Greater London",SW1W0EJ
1595838572,FjYBod46wT+VxJOfCuGRsA,"Bone Daddies","9 Sir Simon Milton Square, Greater London",SW1E5DJ
1595838572,CzM62h8s1io+Ecrd2nsV4A,Quilon,"41-54, Buckingham Gate, Greater London",SW1E6AF
1595838572,0k3bui47Ebt0gBKibhoG2w,"The Courtyard","41-54, Buckingham Gate, Greater London",SW1E6AF
1595838572,5s+qlxLZAx0qLTxZ4PIbIg,"Hamptons Bar","41-54, Buckingham Gate, Greater London",SW1E6AF
1595838572,HvI9+dhEMcbwkMNdMvJoZA,Kona,"41-54, Buckingham Gate, Greater London",SW1E6AF
1595838572,at6hIARYpm9DQjS+H8NqzA,"Bistro 51","41-54, Buckingham Gate, Greater London",SW1E6AF
1595838572,mJmS/dIDCa/LeY+ndZI4pg,"Pizza Pilgrims Victoria","32-34, Buckingham Palace Rd",SW1W0QP
1595838572,+KSCAkCbxjLNdw+MXWMbAQ,"Flight Club Darts","6 Sir Simon Milton Square, Greater London",SW1E5DJ
1595838572,9b9Ip4dBRsPdPwJYAXOJiA,"Timmy Green","11 Sir Simon Milton Square, Victoria",SW1E5DJ
1595838572,4TXZpSWJt5TfyG9sFwizTg,"Victoria (NOVA) ","14 Sir Simon Milton Square, Greater London",SW1E5DJ
1595838572,lVZh5w5/iczI0Zy/9VsvaA,"Sticks 'n' Sushi Victoria","Sticks 'n' Sushi unit 3-5, 3 Sir Milton Square",SW1E5EB
1595838572,JgSIUSomgz2hZsmd55vuyA,"Vagabond Wines Victoria","Unit 17 Nova Building, 77 Buckingham Palace Road",SW1W0AJ
1595838572,dO7jKHXvPd4FL/0Rggvvpg,"Pure Nova ","4 Sir Simon Milton Square, Greater London",SW1E5DJ
1595838572,4tS7AT/ikWNSH1wBkzACBg,"M VICTORIA","Zig Zag Building , 74 Victoria Street",SW1E6SQ
1595838572,N/2Zbr7zp962AIFwr+XCDw,"Iberica Victoria","68 Victoria Street, Greater London",SW1E6SQ
